annotation_base_name,split
flame_sample_0009_pain_4,0
flame_sample_0009_pain_5,0
flame_sample_0009_pain_6,0
flame_sample_0009_pain_7,0
flame_sample_0009_pain_8,0
flame_sample_0009_pain_9,0
flame_sample_0010_pain_1,1
flame_sample_0010_pain_10,1
flame_sample_0010_pain_2,1
flame_sample_0010_pain_3,1
flame_sample_0010_pain_4,1
flame_sample_0010_pain_5,1
flame_sample_0010_pain_6,1
flame_sample_0010_pain_7,1
flame_sample_0010_pain_8,1
flame_sample_0010_pain_9,1
flame_sample_0011_pain_1,0
flame_sample_0011_pain_10,0
flame_sample_0011_pain_2,0
flame_sample_0011_pain_3,0
flame_sample_0011_pain_4,0
flame_sample_0011_pain_5,0
flame_sample_0011_pain_6,0
flame_sample_0011_pain_7,0
flame_sample_0011_pain_8,0
flame_sample_0011_pain_9,0
flame_sample_0012_pain_1,0
flame_sample_0012_pain_10,0
flame_sample_0012_pain_2,0
flame_sample_0012_pain_3,0
flame_sample_0012_pain_4,0
flame_sample_0012_pain_5,0
flame_sample_0012_pain_6,0
flame_sample_0012_pain_7,0
flame_sample_0012_pain_8,0
flame_sample_0012_pain_9,0
flame_sample_0013_pain_1,0
flame_sample_0013_pain_10,0
flame_sample_0013_pain_2,0
flame_sample_0013_pain_3,0
flame_sample_0013_pain_4,0
flame_sample_0013_pain_5,0
flame_sample_0013_pain_6,0
flame_sample_0013_pain_7,0
flame_sample_0013_pain_8,0
flame_sample_0013_pain_9,0
flame_sample_0014_pain_1,0
flame_sample_0014_pain_10,0
flame_sample_0014_pain_2,0
flame_sample_0014_pain_3,0
flame_sample_0014_pain_4,0
flame_sample_0014_pain_5,0
flame_sample_0014_pain_6,0
flame_sample_0014_pain_7,0
flame_sample_0014_pain_8,0
flame_sample_0014_pain_9,0
flame_sample_0015_pain_1,0
flame_sample_0015_pain_10,0
flame_sample_0015_pain_2,0
flame_sample_0015_pain_3,0
flame_sample_0015_pain_4,0
flame_sample_0015_pain_5,0
flame_sample_0015_pain_6,0
flame_sample_0015_pain_7,0
flame_sample_0015_pain_8,0
flame_sample_0015_pain_9,0
flame_sample_0016_pain_1,0
flame_sample_0016_pain_10,0
flame_sample_0016_pain_2,0
flame_sample_0016_pain_3,0
flame_sample_0016_pain_4,0
flame_sample_0016_pain_5,0
flame_sample_0016_pain_6,0
flame_sample_0016_pain_7,0
flame_sample_0016_pain_8,0
flame_sample_0016_pain_9,0
flame_sample_0017_pain_1,2
flame_sample_0017_pain_10,2
flame_sample_0017_pain_2,2
flame_sample_0017_pain_3,2
flame_sample_0017_pain_4,2
flame_sample_0017_pain_5,2
flame_sample_0017_pain_6,2
flame_sample_0017_pain_7,2
flame_sample_0017_pain_8,2
flame_sample_0017_pain_9,2
flame_sample_0018_pain_1,0
flame_sample_0018_pain_10,0
flame_sample_0018_pain_2,0
flame_sample_0018_pain_3,0
flame_sample_0018_pain_4,0
flame_sample_0018_pain_5,0
flame_sample_0018_pain_6,0
flame_sample_0018_pain_7,0
flame_sample_0018_pain_8,0
flame_sample_0018_pain_9,0
flame_sample_0019_pain_1,0
flame_sample_0019_pain_10,0
flame_sample_0019_pain_2,0
flame_sample_0019_pain_3,0
flame_sample_0019_pain_4,0
flame_sample_0019_pain_5,0
flame_sample_0019_pain_6,0
flame_sample_0019_pain_7,0
flame_sample_0019_pain_8,0
flame_sample_0019_pain_9,0
flame_sample_0020_pain_1,2
flame_sample_0020_pain_10,2
flame_sample_0020_pain_2,2
flame_sample_0020_pain_3,2
flame_sample_0020_pain_4,2
flame_sample_0020_pain_5,2
flame_sample_0020_pain_6,2
flame_sample_0020_pain_7,2
flame_sample_0020_pain_8,2
flame_sample_0020_pain_9,2
flame_sample_0021_pain_1,0
flame_sample_0021_pain_10,0
flame_sample_0021_pain_2,0
flame_sample_0021_pain_3,0
flame_sample_0021_pain_4,0
flame_sample_0021_pain_5,0
flame_sample_0021_pain_6,0
flame_sample_0021_pain_7,0
flame_sample_0021_pain_8,0
flame_sample_0021_pain_9,0
flame_sample_0022_pain_1,1
flame_sample_0022_pain_10,1
flame_sample_0022_pain_2,1
flame_sample_0022_pain_3,1
flame_sample_0022_pain_4,1
flame_sample_0022_pain_5,1
flame_sample_0022_pain_6,1
flame_sample_0022_pain_7,1
flame_sample_0022_pain_8,1
flame_sample_0022_pain_9,1
flame_sample_0023_pain_1,0
flame_sample_0023_pain_10,0
flame_sample_0023_pain_2,0
flame_sample_0023_pain_3,0
flame_sample_0023_pain_4,0
flame_sample_0023_pain_5,0
flame_sample_0023_pain_6,0
flame_sample_0023_pain_7,0
flame_sample_0023_pain_8,0
flame_sample_0023_pain_9,0
flame_sample_0024_pain_1,0
flame_sample_0024_pain_10,0
flame_sample_0024_pain_2,0
flame_sample_0024_pain_3,0
flame_sample_0024_pain_4,0
flame_sample_0024_pain_5,0
flame_sample_0024_pain_6,0
flame_sample_0024_pain_7,0
flame_sample_0024_pain_8,0
flame_sample_0024_pain_9,0
flame_sample_0025_pain_1,0
flame_sample_0025_pain_10,0
flame_sample_0025_pain_2,0
flame_sample_0025_pain_3,0
flame_sample_0025_pain_4,0
flame_sample_0025_pain_5,0
flame_sample_0025_pain_6,0
flame_sample_0025_pain_7,0
flame_sample_0025_pain_8,0
flame_sample_0025_pain_9,0
flame_sample_0026_pain_1,0
flame_sample_0026_pain_10,0
flame_sample_0026_pain_2,0
flame_sample_0026_pain_3,0
flame_sample_0026_pain_4,0
flame_sample_0026_pain_5,0
flame_sample_0026_pain_6,0
flame_sample_0026_pain_7,0
flame_sample_0026_pain_8,0
flame_sample_0026_pain_9,0
flame_sample_0027_pain_1,0
flame_sample_0027_pain_10,0
flame_sample_0027_pain_2,0
flame_sample_0027_pain_3,0
flame_sample_0027_pain_4,0
flame_sample_0027_pain_5,0
flame_sample_0027_pain_6,0
flame_sample_0027_pain_7,0
flame_sample_0027_pain_8,0
flame_sample_0027_pain_9,0
flame_sample_0028_pain_1,0
flame_sample_0028_pain_10,0
flame_sample_0028_pain_2,0
flame_sample_0028_pain_3,0
flame_sample_0028_pain_4,0
flame_sample_0028_pain_5,0
flame_sample_0028_pain_6,0
flame_sample_0028_pain_7,0
flame_sample_0028_pain_8,0
flame_sample_0028_pain_9,0
flame_sample_0029_pain_1,0
flame_sample_0029_pain_10,0
flame_sample_0029_pain_2,0
flame_sample_0029_pain_3,0
flame_sample_0029_pain_4,0
flame_sample_0029_pain_5,0
flame_sample_0029_pain_6,0
flame_sample_0029_pain_7,0
flame_sample_0029_pain_8,0
flame_sample_0029_pain_9,0
flame_sample_0030_pain_1,0
flame_sample_0030_pain_10,0
flame_sample_0030_pain_2,0
flame_sample_0030_pain_3,0
flame_sample_0030_pain_4,0
flame_sample_0030_pain_5,0
flame_sample_0030_pain_6,0
flame_sample_0030_pain_7,0
flame_sample_0030_pain_8,0
flame_sample_0030_pain_9,0
flame_sample_0031_pain_1,0
flame_sample_0031_pain_10,0
flame_sample_0031_pain_2,0
flame_sample_0031_pain_3,0
flame_sample_0031_pain_4,0
flame_sample_0031_pain_5,0
flame_sample_0031_pain_6,0
flame_sample_0031_pain_7,0
flame_sample_0031_pain_8,0
flame_sample_0031_pain_9,0
flame_sample_0032_pain_1,0
flame_sample_0032_pain_10,0
flame_sample_0032_pain_2,0
flame_sample_0032_pain_3,0
flame_sample_0032_pain_4,0
flame_sample_0032_pain_5,0
flame_sample_0032_pain_6,0
flame_sample_0032_pain_7,0
flame_sample_0032_pain_8,0
flame_sample_0032_pain_9,0
flame_sample_0033_pain_1,0
flame_sample_0033_pain_10,0
flame_sample_0033_pain_2,0
flame_sample_0033_pain_3,0
flame_sample_0033_pain_4,0
flame_sample_0033_pain_5,0
flame_sample_0033_pain_6,0
flame_sample_0033_pain_7,0
flame_sample_0033_pain_8,0
flame_sample_0033_pain_9,0
flame_sample_0034_pain_1,0
flame_sample_0034_pain_10,0
flame_sample_0034_pain_2,0
flame_sample_0034_pain_3,0
flame_sample_0034_pain_4,0
flame_sample_0034_pain_5,0
flame_sample_0034_pain_6,0
flame_sample_0034_pain_7,0
flame_sample_0034_pain_8,0
flame_sample_0034_pain_9,0
flame_sample_0035_pain_1,2
flame_sample_0035_pain_10,2
flame_sample_0035_pain_2,2
flame_sample_0035_pain_3,2
flame_sample_0035_pain_4,2
flame_sample_0035_pain_5,2
flame_sample_0035_pain_6,2
flame_sample_0035_pain_7,2
flame_sample_0035_pain_8,2
flame_sample_0035_pain_9,2
flame_sample_0036_pain_1,0
flame_sample_0036_pain_10,0
flame_sample_0036_pain_2,0
flame_sample_0036_pain_3,0
flame_sample_0036_pain_4,0
flame_sample_0036_pain_5,0
flame_sample_0036_pain_6,0
flame_sample_0036_pain_7,0
flame_sample_0036_pain_8,0
flame_sample_0036_pain_9,0
flame_sample_0037_pain_1,0
flame_sample_0037_pain_10,0
flame_sample_0037_pain_2,0
flame_sample_0037_pain_3,0
flame_sample_0037_pain_4,0
flame_sample_0037_pain_5,0
flame_sample_0037_pain_6,0
flame_sample_0037_pain_7,0
flame_sample_0037_pain_8,0
flame_sample_0037_pain_9,0
flame_sample_0038_pain_1,0
flame_sample_0038_pain_10,0
flame_sample_0038_pain_2,0
flame_sample_0038_pain_3,0
flame_sample_0038_pain_4,0
flame_sample_0038_pain_5,0
flame_sample_0038_pain_6,0
flame_sample_0038_pain_7,0
flame_sample_0038_pain_8,0
flame_sample_0038_pain_9,0
flame_sample_0039_pain_1,0
flame_sample_0039_pain_10,0
flame_sample_0039_pain_2,0
flame_sample_0039_pain_3,0
flame_sample_0039_pain_4,0
flame_sample_0039_pain_5,0
flame_sample_0039_pain_6,0
flame_sample_0039_pain_7,0
flame_sample_0039_pain_8,0
flame_sample_0039_pain_9,0
flame_sample_0040_pain_1,1
flame_sample_0040_pain_10,1
flame_sample_0040_pain_2,1
flame_sample_0040_pain_3,1
flame_sample_0040_pain_4,1
flame_sample_0040_pain_5,1
flame_sample_0040_pain_6,1
flame_sample_0040_pain_7,1
flame_sample_0040_pain_8,1
flame_sample_0040_pain_9,1
flame_sample_0041_pain_1,1
flame_sample_0041_pain_10,1
flame_sample_0041_pain_2,1
flame_sample_0041_pain_3,1
flame_sample_0041_pain_4,1
flame_sample_0041_pain_5,1
flame_sample_0041_pain_6,1
flame_sample_0041_pain_7,1
flame_sample_0041_pain_8,1
flame_sample_0041_pain_9,1
flame_sample_0042_pain_1,0
flame_sample_0042_pain_10,0
flame_sample_0042_pain_2,0
flame_sample_0042_pain_3,0
flame_sample_0042_pain_4,0
flame_sample_0042_pain_5,0
flame_sample_0042_pain_6,0
flame_sample_0042_pain_7,0
flame_sample_0042_pain_8,0
flame_sample_0042_pain_9,0
flame_sample_0043_pain_1,0
flame_sample_0043_pain_10,0
flame_sample_0043_pain_2,0
flame_sample_0043_pain_3,0
flame_sample_0043_pain_4,0
flame_sample_0043_pain_5,0
flame_sample_0043_pain_6,0
flame_sample_0043_pain_7,0
flame_sample_0043_pain_8,0
flame_sample_0043_pain_9,0
flame_sample_0044_pain_1,0
flame_sample_0044_pain_10,0
flame_sample_0044_pain_2,0
flame_sample_0044_pain_3,0
flame_sample_0044_pain_4,0
flame_sample_0044_pain_5,0
flame_sample_0044_pain_6,0
flame_sample_0044_pain_7,0
flame_sample_0044_pain_8,0
flame_sample_0044_pain_9,0
flame_sample_0045_pain_1,0
flame_sample_0045_pain_10,0
flame_sample_0045_pain_2,0
flame_sample_0045_pain_3,0
flame_sample_0045_pain_4,0
flame_sample_0045_pain_5,0
flame_sample_0045_pain_6,0
flame_sample_0045_pain_7,0
flame_sample_0045_pain_8,0
flame_sample_0045_pain_9,0
flame_sample_0046_pain_1,0
flame_sample_0046_pain_10,0
flame_sample_0046_pain_2,0
flame_sample_0046_pain_3,0
flame_sample_0046_pain_4,0
flame_sample_0046_pain_5,0
flame_sample_0046_pain_6,0
flame_sample_0046_pain_7,0
flame_sample_0046_pain_8,0
flame_sample_0046_pain_9,0
flame_sample_0047_pain_1,0
flame_sample_0047_pain_10,0
flame_sample_0047_pain_2,0
flame_sample_0047_pain_3,0
flame_sample_0047_pain_4,0
flame_sample_0047_pain_5,0
flame_sample_0047_pain_6,0
flame_sample_0047_pain_7,0
flame_sample_0047_pain_8,0
flame_sample_0047_pain_9,0
flame_sample_0048_pain_1,0
flame_sample_0048_pain_10,0
flame_sample_0048_pain_2,0
flame_sample_0048_pain_3,0
flame_sample_0048_pain_4,0
flame_sample_0048_pain_5,0
flame_sample_0048_pain_6,0
flame_sample_0048_pain_7,0
flame_sample_0048_pain_8,0
flame_sample_0048_pain_9,0
flame_sample_0049_pain_1,0
flame_sample_0049_pain_10,0
flame_sample_0049_pain_2,0
flame_sample_0049_pain_3,0
flame_sample_0049_pain_4,0
flame_sample_0049_pain_5,0
flame_sample_0049_pain_6,0
flame_sample_0049_pain_7,0
flame_sample_0049_pain_8,0
flame_sample_0049_pain_9,0
flame_sample_0050_pain_1,0
flame_sample_0050_pain_10,0
flame_sample_0050_pain_2,0
flame_sample_0050_pain_3,0
flame_sample_0050_pain_4,0
flame_sample_0050_pain_5,0
flame_sample_0050_pain_6,0
flame_sample_0050_pain_7,0
flame_sample_0050_pain_8,0
flame_sample_0050_pain_9,0
flame_sample_0051_pain_1,0
flame_sample_0051_pain_10,0
flame_sample_0051_pain_2,0
flame_sample_0051_pain_3,0
flame_sample_0051_pain_4,0
flame_sample_0051_pain_5,0
flame_sample_0051_pain_6,0
flame_sample_0051_pain_7,0
flame_sample_0051_pain_8,0
flame_sample_0051_pain_9,0
flame_sample_0052_pain_1,0
flame_sample_0052_pain_10,0
flame_sample_0052_pain_2,0
flame_sample_0052_pain_3,0
flame_sample_0052_pain_4,0
flame_sample_0052_pain_5,0
flame_sample_0052_pain_6,0
flame_sample_0052_pain_7,0
flame_sample_0052_pain_8,0
flame_sample_0052_pain_9,0
flame_sample_0053_pain_1,0
flame_sample_0053_pain_10,0
flame_sample_0053_pain_2,0
flame_sample_0053_pain_3,0
flame_sample_0053_pain_4,0
flame_sample_0053_pain_5,0
flame_sample_0053_pain_6,0
flame_sample_0053_pain_7,0
flame_sample_0053_pain_8,0
flame_sample_0053_pain_9,0
flame_sample_0054_pain_1,0
flame_sample_0054_pain_10,0
flame_sample_0054_pain_2,0
flame_sample_0054_pain_3,0
flame_sample_0054_pain_4,0
flame_sample_0054_pain_5,0
flame_sample_0054_pain_6,0
flame_sample_0054_pain_7,0
flame_sample_0054_pain_8,0
flame_sample_0054_pain_9,0
flame_sample_0055_pain_1,1
flame_sample_0055_pain_10,1
flame_sample_0055_pain_2,1
flame_sample_0055_pain_3,1
flame_sample_0055_pain_4,1
flame_sample_0055_pain_5,1
flame_sample_0055_pain_6,1
flame_sample_0055_pain_7,1
flame_sample_0055_pain_8,1
flame_sample_0055_pain_9,1
flame_sample_0056_pain_1,1
flame_sample_0056_pain_10,1
flame_sample_0056_pain_2,1
flame_sample_0056_pain_3,1
flame_sample_0056_pain_4,1
flame_sample_0056_pain_5,1
flame_sample_0056_pain_6,1
flame_sample_0056_pain_7,1
flame_sample_0056_pain_8,1
flame_sample_0056_pain_9,1
flame_sample_0057_pain_1,0
flame_sample_0057_pain_10,0
flame_sample_0057_pain_2,0
flame_sample_0057_pain_3,0
flame_sample_0057_pain_4,0
flame_sample_0057_pain_5,0
flame_sample_0057_pain_6,0
flame_sample_0057_pain_7,0
flame_sample_0057_pain_8,0
flame_sample_0057_pain_9,0
flame_sample_0058_pain_1,0
flame_sample_0058_pain_10,0
flame_sample_0058_pain_2,0
flame_sample_0058_pain_3,0
flame_sample_0058_pain_4,0
flame_sample_0058_pain_5,0
flame_sample_0058_pain_6,0
flame_sample_0058_pain_7,0
flame_sample_0058_pain_8,0
flame_sample_0058_pain_9,0
flame_sample_0059_pain_1,1
flame_sample_0059_pain_10,1
flame_sample_0059_pain_2,1
flame_sample_0059_pain_3,1
flame_sample_0059_pain_4,1
flame_sample_0059_pain_5,1
flame_sample_0059_pain_6,1
flame_sample_0059_pain_7,1
flame_sample_0059_pain_8,1
flame_sample_0059_pain_9,1
flame_sample_0060_pain_1,2
flame_sample_0060_pain_10,2
flame_sample_0060_pain_2,2
flame_sample_0060_pain_3,2
flame_sample_0060_pain_4,2
flame_sample_0060_pain_5,2
flame_sample_0060_pain_6,2
flame_sample_0060_pain_7,2
flame_sample_0060_pain_8,2
flame_sample_0060_pain_9,2
flame_sample_0061_pain_1,0
flame_sample_0061_pain_10,0
flame_sample_0061_pain_2,0
flame_sample_0061_pain_3,0
flame_sample_0061_pain_4,0
flame_sample_0061_pain_5,0
flame_sample_0061_pain_6,0
flame_sample_0061_pain_7,0
flame_sample_0061_pain_8,0
flame_sample_0061_pain_9,0
flame_sample_0062_pain_1,0
flame_sample_0062_pain_10,0
flame_sample_0062_pain_2,0
flame_sample_0062_pain_3,0
flame_sample_0062_pain_4,0
flame_sample_0062_pain_5,0
flame_sample_0062_pain_6,0
flame_sample_0062_pain_7,0
flame_sample_0062_pain_8,0
flame_sample_0062_pain_9,0
flame_sample_0063_pain_1,0
flame_sample_0063_pain_10,0
flame_sample_0063_pain_2,0
flame_sample_0063_pain_3,0
flame_sample_0063_pain_4,0
flame_sample_0063_pain_5,0
flame_sample_0063_pain_6,0
flame_sample_0063_pain_7,0
flame_sample_0063_pain_8,0
flame_sample_0063_pain_9,0
flame_sample_0064_pain_1,2
flame_sample_0064_pain_10,2
flame_sample_0064_pain_2,2
flame_sample_0064_pain_3,2
flame_sample_0064_pain_4,2
flame_sample_0064_pain_5,2
flame_sample_0064_pain_6,2
flame_sample_0064_pain_7,2
flame_sample_0064_pain_8,2
flame_sample_0064_pain_9,2
flame_sample_0065_pain_1,0
flame_sample_0065_pain_10,0
flame_sample_0065_pain_2,0
flame_sample_0065_pain_3,0
flame_sample_0065_pain_4,0
flame_sample_0065_pain_5,0
flame_sample_0065_pain_6,0
flame_sample_0065_pain_7,0
flame_sample_0065_pain_8,0
flame_sample_0065_pain_9,0
flame_sample_0066_pain_1,1
flame_sample_0066_pain_10,1
flame_sample_0066_pain_2,1
flame_sample_0066_pain_3,1
flame_sample_0066_pain_4,1
flame_sample_0066_pain_5,1
flame_sample_0066_pain_6,1
flame_sample_0066_pain_7,1
flame_sample_0066_pain_8,1
flame_sample_0066_pain_9,1
flame_sample_0067_pain_1,0
flame_sample_0067_pain_10,0
flame_sample_0067_pain_2,0
flame_sample_0067_pain_3,0
flame_sample_0067_pain_4,0
flame_sample_0067_pain_5,0
flame_sample_0067_pain_6,0
flame_sample_0067_pain_7,0
flame_sample_0067_pain_8,0
flame_sample_0067_pain_9,0
flame_sample_0068_pain_1,0
flame_sample_0068_pain_10,0
flame_sample_0068_pain_2,0
flame_sample_0068_pain_3,0
flame_sample_0068_pain_4,0
flame_sample_0068_pain_5,0
flame_sample_0068_pain_6,0
flame_sample_0068_pain_7,0
flame_sample_0068_pain_8,0
flame_sample_0068_pain_9,0
flame_sample_0069_pain_1,0
flame_sample_0069_pain_10,0
flame_sample_0069_pain_2,0
flame_sample_0069_pain_3,0
flame_sample_0069_pain_4,0
flame_sample_0069_pain_5,0
flame_sample_0069_pain_6,0
flame_sample_0069_pain_7,0
flame_sample_0069_pain_8,0
flame_sample_0069_pain_9,0
flame_sample_0070_pain_1,0
flame_sample_0070_pain_10,0
flame_sample_0070_pain_2,0
flame_sample_0070_pain_3,0
flame_sample_0070_pain_4,0
flame_sample_0070_pain_5,0
flame_sample_0070_pain_6,0
flame_sample_0070_pain_7,0
flame_sample_0070_pain_8,0
flame_sample_0070_pain_9,0
flame_sample_0071_pain_1,0
flame_sample_0071_pain_10,0
flame_sample_0071_pain_2,0
flame_sample_0071_pain_3,0
flame_sample_0071_pain_4,0
flame_sample_0071_pain_5,0
flame_sample_0071_pain_6,0
flame_sample_0071_pain_7,0
flame_sample_0071_pain_8,0
flame_sample_0071_pain_9,0
flame_sample_0072_pain_1,1
flame_sample_0072_pain_10,1
flame_sample_0072_pain_2,1
flame_sample_0072_pain_3,1
flame_sample_0072_pain_4,1
flame_sample_0072_pain_5,1
flame_sample_0072_pain_6,1
flame_sample_0072_pain_7,1
flame_sample_0072_pain_8,1
flame_sample_0072_pain_9,1
flame_sample_0073_pain_1,0
flame_sample_0073_pain_10,0
flame_sample_0073_pain_2,0
flame_sample_0073_pain_3,0
flame_sample_0073_pain_4,0
flame_sample_0073_pain_5,0
flame_sample_0073_pain_6,0
flame_sample_0073_pain_7,0
flame_sample_0073_pain_8,0
flame_sample_0073_pain_9,0
flame_sample_0074_pain_1,0
flame_sample_0074_pain_10,0
flame_sample_0074_pain_2,0
flame_sample_0074_pain_3,0
flame_sample_0074_pain_4,0
flame_sample_0074_pain_5,0
flame_sample_0074_pain_6,0
flame_sample_0074_pain_7,0
flame_sample_0074_pain_8,0
flame_sample_0074_pain_9,0
flame_sample_0075_pain_1,2
flame_sample_0075_pain_10,2
flame_sample_0075_pain_2,2
flame_sample_0075_pain_3,2
flame_sample_0075_pain_4,2
flame_sample_0075_pain_5,2
flame_sample_0075_pain_6,2
flame_sample_0075_pain_7,2
flame_sample_0075_pain_8,2
flame_sample_0075_pain_9,2
flame_sample_0076_pain_1,0
flame_sample_0076_pain_10,0
flame_sample_0076_pain_2,0
flame_sample_0076_pain_3,0
flame_sample_0076_pain_4,0
flame_sample_0076_pain_5,0
flame_sample_0076_pain_6,0
flame_sample_0076_pain_7,0
flame_sample_0076_pain_8,0
flame_sample_0076_pain_9,0
flame_sample_0077_pain_1,0
flame_sample_0077_pain_10,0
flame_sample_0077_pain_2,0
flame_sample_0077_pain_3,0
flame_sample_0077_pain_4,0
flame_sample_0077_pain_5,0
flame_sample_0077_pain_6,0
flame_sample_0077_pain_7,0
flame_sample_0077_pain_8,0
flame_sample_0077_pain_9,0
flame_sample_0078_pain_1,0
flame_sample_0078_pain_10,0
flame_sample_0078_pain_2,0
flame_sample_0078_pain_3,0
flame_sample_0078_pain_4,0
flame_sample_0078_pain_5,0
flame_sample_0078_pain_6,0
flame_sample_0078_pain_7,0
flame_sample_0078_pain_8,0
flame_sample_0078_pain_9,0
flame_sample_0079_pain_1,0
flame_sample_0079_pain_10,0
flame_sample_0079_pain_2,0
flame_sample_0079_pain_3,0
flame_sample_0079_pain_4,0
flame_sample_0079_pain_5,0
flame_sample_0079_pain_6,0
flame_sample_0079_pain_7,0
flame_sample_0079_pain_8,0
flame_sample_0079_pain_9,0
flame_sample_0080_pain_1,1
flame_sample_0080_pain_10,1
flame_sample_0080_pain_2,1
flame_sample_0080_pain_3,1
flame_sample_0080_pain_4,1
flame_sample_0080_pain_5,1
flame_sample_0080_pain_6,1
flame_sample_0080_pain_7,1
flame_sample_0080_pain_8,1
flame_sample_0080_pain_9,1
flame_sample_0081_pain_1,0
flame_sample_0081_pain_10,0
flame_sample_0081_pain_2,0
flame_sample_0081_pain_3,0
flame_sample_0081_pain_4,0
flame_sample_0081_pain_5,0
flame_sample_0081_pain_6,0
flame_sample_0081_pain_7,0
flame_sample_0081_pain_8,0
flame_sample_0081_pain_9,0
flame_sample_0082_pain_1,1
flame_sample_0082_pain_10,1
flame_sample_0082_pain_2,1
flame_sample_0082_pain_3,1
flame_sample_0082_pain_4,1
flame_sample_0082_pain_5,1
flame_sample_0082_pain_6,1
flame_sample_0082_pain_7,1
flame_sample_0082_pain_8,1
flame_sample_0082_pain_9,1
flame_sample_0083_pain_1,1
flame_sample_0083_pain_10,1
flame_sample_0083_pain_2,1
flame_sample_0083_pain_3,1
flame_sample_0083_pain_4,1
flame_sample_0083_pain_5,1
flame_sample_0083_pain_6,1
flame_sample_0083_pain_7,1
flame_sample_0083_pain_8,1
flame_sample_0083_pain_9,1
flame_sample_0084_pain_1,1
flame_sample_0084_pain_10,1
flame_sample_0084_pain_2,1
flame_sample_0084_pain_3,1
flame_sample_0084_pain_4,1
flame_sample_0084_pain_5,1
flame_sample_0084_pain_6,1
flame_sample_0084_pain_7,1
flame_sample_0084_pain_8,1
flame_sample_0084_pain_9,1
flame_sample_0085_pain_1,0
flame_sample_0085_pain_10,0
flame_sample_0085_pain_2,0
flame_sample_0085_pain_3,0
flame_sample_0085_pain_4,0
flame_sample_0085_pain_5,0
flame_sample_0085_pain_6,0
flame_sample_0085_pain_7,0
flame_sample_0085_pain_8,0
flame_sample_0085_pain_9,0
flame_sample_0086_pain_1,0
flame_sample_0086_pain_10,0
flame_sample_0086_pain_2,0
flame_sample_0086_pain_3,0
flame_sample_0086_pain_4,0
flame_sample_0086_pain_5,0
flame_sample_0086_pain_6,0
flame_sample_0086_pain_7,0
flame_sample_0086_pain_8,0
flame_sample_0086_pain_9,0
flame_sample_0087_pain_1,0
flame_sample_0087_pain_10,0
flame_sample_0087_pain_2,0
